1_Localiser_participant_1_Date_2017_5_17_Time_9_28_17.9424
dummy	1	3.531277e+04
dummy	2	3.531703e+04
dummy	3	3.532064e+04
RefVol	4	3.532287e+04
trialNo	condition	adjustTime	duration	rawOnset	rawOffset
1	Sentences	4.136867e-02	2.010171e+00	3.532291e+04	3.532492e+04
2	Sentences	2.063145e+00	2.004083e+00	3.532494e+04	3.532694e+04
3	Sentences	4.085175e+00	2.003403e+00	3.532696e+04	3.532896e+04
4	Sentences	6.107203e+00	2.000646e+00	3.532898e+04	3.533098e+04
5	Silence	8.129357e+00	2.002997e+00	3.533100e+04	3.533300e+04
6	Silence	1.015138e+01	3.001218e+00	3.533302e+04	3.533602e+04
7	Sentences	1.315908e+01	2.000709e+00	3.533603e+04	3.533803e+04
8	Sentences	1.516441e+01	2.000311e+00	3.533804e+04	3.534004e+04
9	Silence	1.716978e+01	2.001264e+00	3.534004e+04	3.534204e+04
10	Sentences	1.919196e+01	2.000767e+00	3.534206e+04	3.534406e+04
11	Silence	2.119722e+01	3.001278e+00	3.534407e+04	3.534707e+04
12	Silence	2.420541e+01	2.501371e+00	3.534708e+04	3.534958e+04
13	Sentences	2.671203e+01	2.000552e+00	3.534958e+04	3.535158e+04
14	Sentences	2.871751e+01	2.000831e+00	3.535159e+04	3.535359e+04
15	Sentences	3.072283e+01	2.000337e+00	3.535359e+04	3.535560e+04
16	Sentences	3.272811e+01	2.000363e+00	3.535560e+04	3.535760e+04
17	Silence	3.473342e+01	2.501332e+00	3.535761e+04	3.536011e+04
18	Silence	3.724007e+01	2.001427e+00	3.536011e+04	3.536211e+04
19	Sentences	3.924543e+01	2.000531e+00	3.536212e+04	3.536412e+04
20	Sentences	4.125089e+01	2.000577e+00	3.536412e+04	3.536612e+04
21	Silence	4.325613e+01	2.001290e+00	3.536613e+04	3.536813e+04
22	Sentences	4.526146e+01	2.000421e+00	3.536813e+04	3.537013e+04
23	Silence	4.726688e+01	2.001342e+00	3.537014e+04	3.537214e+04
24	Silence	4.927217e+01	3.001194e+00	3.537214e+04	3.537515e+04
25	Silence	5.228049e+01	2.501319e+00	3.537515e+04	3.537765e+04
26	Silence	5.478702e+01	3.001263e+00	3.537766e+04	3.538066e+04
27	Sentences	5.779506e+01	2.001223e+00	3.538067e+04	3.538267e+04
28	Silence	5.980032e+01	2.501268e+00	3.538267e+04	3.538517e+04
29	Silence	6.230712e+01	2.501210e+00	3.538518e+04	3.538768e+04
30	Silence	6.481379e+01	3.001211e+00	3.538769e+04	3.539069e+04
31	Silence	6.782182e+01	2.501322e+00	3.539069e+04	3.539320e+04
32	Sentences	7.032849e+01	2.000804e+00	3.539320e+04	3.539520e+04
33	Sentences	7.233407e+01	2.000896e+00	3.539521e+04	3.539721e+04
34	Silence	7.433915e+01	2.001284e+00	3.539721e+04	3.539921e+04
35	Sentences	7.634453e+01	2.000822e+00	3.539922e+04	3.540122e+04
36	Sentences	7.834996e+01	2.000669e+00	3.540122e+04	3.540322e+04
37	Silence	8.035520e+01	2.001425e+00	3.540323e+04	3.540523e+04
38	Sentences	8.236061e+01	2.000607e+00	3.540523e+04	3.540723e+04
39	Silence	8.436595e+01	2.001429e+00	3.540724e+04	3.540924e+04
40	Silence	8.637130e+01	2.001242e+00	3.540924e+04	3.541124e+04
final_volume	3.543956e+04	
