1_Localiser_participant_1_Date_2017_5_17_Time_10_55_39.1377
dummy	1	4.024370e+04
dummy	2	4.025285e+04
dummy	3	4.025303e+04
RefVol	4	4.025432e+04
trialNo	condition	adjustTime	duration	rawOnset	rawOffset
1	Sentences	4.416146e-02	2.012980e+00	4.025437e+04	4.025638e+04
2	Silence	2.076793e+00	3.004580e+00	4.025640e+04	4.025940e+04
3	Sentences	5.093508e+00	2.004433e+00	4.025941e+04	4.026142e+04
4	Silence	7.109586e+00	3.000425e+00	4.026143e+04	4.026443e+04
5	Silence	1.011779e+01	2.501226e+00	4.026444e+04	4.026694e+04
6	Silence	1.262610e+01	2.001261e+00	4.026695e+04	4.026895e+04
7	Silence	1.463418e+01	2.501340e+00	4.026896e+04	4.027146e+04
8	Silence	1.714215e+01	2.501294e+00	4.027146e+04	4.027396e+04
9	Sentences	1.965037e+01	1.211449e+00	4.027397e+04	4.027518e+04
10	Sentences	2.087528e+01	9.836886e-03	4.027520e+04	4.027521e+04
11	Sentences	2.090173e+01	7.792728e-03	4.027522e+04	4.027523e+04
12	Silence	2.092541e+01	2.500139e+00	4.027525e+04	4.027775e+04
13	Silence	2.343341e+01	2.500649e+00	4.027775e+04	4.028026e+04
14	Sentences	2.594176e+01	2.000835e+00	4.028026e+04	4.028226e+04
15	Sentences	2.794972e+01	3.540597e-01	4.028227e+04	4.028263e+04
16	Silence	2.831644e+01	3.001292e+00	4.028264e+04	4.028564e+04
17	Silence	3.132463e+01	3.001397e+00	4.028565e+04	4.028865e+04
18	Sentences	3.433273e+01	3.875338e-01	4.028865e+04	4.028904e+04
19	Sentences	3.473274e+01	3.534279e-03	4.028905e+04	4.028906e+04
20	Sentences	3.474990e+01	5.232747e-03	4.028907e+04	4.028908e+04
21	Sentences	3.476612e+01	1.563208e-01	4.028909e+04	4.028924e+04
22	Silence	3.493262e+01	2.501377e+00	4.028925e+04	4.029176e+04
23	Silence	3.744074e+01	3.000424e+00	4.029176e+04	4.029476e+04
24	Sentences	4.044902e+01	9.562493e-02	4.029477e+04	4.029487e+04
25	Silence	4.056024e+01	3.001390e+00	4.029488e+04	4.029788e+04
26	Sentences	4.357376e+01	2.000613e+00	4.029790e+04	4.029990e+04
27	Silence	4.558372e+01	2.001229e+00	4.029991e+04	4.030191e+04
28	Silence	4.759844e+01	2.500589e+00	4.030192e+04	4.030442e+04
29	Sentences	5.010653e+01	2.007028e+00	4.030443e+04	4.030643e+04
30	Sentences	5.212311e+01	2.001856e+00	4.030644e+04	4.030845e+04
31	Sentences	5.413123e+01	2.001078e+00	4.030845e+04	4.031045e+04
32	Sentences	5.613960e+01	2.000966e+00	4.031046e+04	4.031246e+04
33	Silence	5.814788e+01	3.000690e+00	4.031247e+04	4.031547e+04
34	Sentences	6.115571e+01	2.000574e+00	4.031548e+04	4.031748e+04
35	Sentences	6.316400e+01	2.002199e+00	4.031749e+04	4.031949e+04
36	Sentences	6.517241e+01	2.000672e+00	4.031949e+04	4.032149e+04
37	Silence	6.718044e+01	3.000649e+00	4.032150e+04	4.032450e+04
38	Silence	7.018848e+01	2.000549e+00	4.032451e+04	4.032651e+04
39	Silence	7.219664e+01	2.500434e+00	4.032652e+04	4.032902e+04
40	Silence	7.470487e+01	2.000317e+00	4.032903e+04	4.033103e+04
final_volume	4.041504e+04	
