2_Localiser_participant_1_Date_2017_5_17_Time_9_49_40.3803
dummy	1	3.628779e+04
dummy	2	3.629290e+04
dummy	3	3.629417e+04
RefVol	4	3.629527e+04
trialNo	condition	adjustTime	duration	rawOnset	rawOffset
1	Sentences	4.872108e-02	2.009941e+00	3.629532e+04	3.629733e+04
2	Silence	2.073531e+00	3.005092e+00	3.629735e+04	3.630035e+04
3	Sentences	5.090206e+00	2.004243e+00	3.630036e+04	3.630237e+04
4	Sentences	7.106073e+00	2.000551e+00	3.630238e+04	3.630438e+04
5	Sentences	9.114277e+00	2.001014e+00	3.630439e+04	3.630639e+04
6	Silence	1.112242e+01	2.501526e+00	3.630639e+04	3.630890e+04
7	Sentences	1.363066e+01	2.000842e+00	3.630890e+04	3.631090e+04
8	Sentences	1.563880e+01	2.000384e+00	3.631091e+04	3.631291e+04
9	Sentences	1.764706e+01	2.000810e+00	3.631292e+04	3.631492e+04
10	Sentences	1.965513e+01	2.000801e+00	3.631493e+04	3.631693e+04
11	Silence	2.166337e+01	2.001403e+00	3.631694e+04	3.631894e+04
12	Silence	2.367169e+01	3.001341e+00	3.631894e+04	3.632194e+04
13	Silence	2.667983e+01	2.001313e+00	3.632195e+04	3.632395e+04
14	Sentences	2.868794e+01	2.000765e+00	3.632396e+04	3.632596e+04
15	Silence	3.069608e+01	2.001218e+00	3.632597e+04	3.632797e+04
16	Silence	3.270439e+01	2.501229e+00	3.632798e+04	3.633048e+04
17	Silence	3.521253e+01	3.001314e+00	3.633048e+04	3.633349e+04
18	Sentences	3.822066e+01	2.000882e+00	3.633349e+04	3.633549e+04
19	Silence	4.022874e+01	2.001318e+00	3.633550e+04	3.633750e+04
20	Sentences	4.223692e+01	2.000482e+00	3.633751e+04	3.633951e+04
21	Silence	4.424513e+01	2.001349e+00	3.633952e+04	3.634152e+04
22	Sentences	4.625350e+01	2.001728e+00	3.634153e+04	3.634353e+04
23	Silence	4.826146e+01	2.001320e+00	3.634353e+04	3.634553e+04
24	Sentences	5.026969e+01	2.001368e+00	3.634554e+04	3.634754e+04
25	Sentences	5.227782e+01	2.000457e+00	3.634755e+04	3.634955e+04
26	Silence	5.428601e+01	2.501409e+00	3.634956e+04	3.635206e+04
27	Sentences	5.679432e+01	2.001053e+00	3.635207e+04	3.635407e+04
28	Silence	5.880240e+01	2.001222e+00	3.635407e+04	3.635608e+04
29	Sentences	6.081086e+01	2.000777e+00	3.635608e+04	3.635808e+04
30	Silence	6.281876e+01	2.501306e+00	3.635809e+04	3.636059e+04
31	Silence	6.532708e+01	3.001384e+00	3.636060e+04	3.636360e+04
32	Sentences	6.833523e+01	2.001321e+00	3.636361e+04	3.636561e+04
33	Silence	7.034321e+01	2.001290e+00	3.636561e+04	3.636762e+04
34	Silence	7.235144e+01	3.001330e+00	3.636762e+04	3.637062e+04
35	Silence	7.535969e+01	2.501431e+00	3.637063e+04	3.637313e+04
36	Sentences	7.786787e+01	2.000703e+00	3.637314e+04	3.637514e+04
37	Silence	7.987595e+01	3.001334e+00	3.637515e+04	3.637815e+04
38	Silence	8.288417e+01	2.001375e+00	3.637816e+04	3.638016e+04
39	Sentences	8.489236e+01	2.000942e+00	3.638016e+04	3.638217e+04
40	Sentences	8.690054e+01	3.017943e+00	3.638217e+04	3.638519e+04
final_volume	3.638777e+04	
